尾气检测报告-照片:[没有签名]	623
尾气检测报告-照片:[车架号不正确]	89
尾气检测报告-照片:[车架号不正确][没有印章]	1
尾气检测报告-照片:[车架号不正确][没有印章][没有签名]	4
尾气检测报告-照片:[车架号不正确][没有签名]	31
尾气检测报告-照片:[车牌号不正确]	24
尾气检测报告-照片:[车牌号不正确][没有印章]	6
尾气检测报告-照片:[车牌号不正确][没有签名]	3
尾气检测报告-照片:[车牌号不正确][车架号不正确]	70
尾气检测报告-照片:[车牌号不正确][车架号不正确][没有印章]	1
尾气检测报告-照片:[车牌号不正确][车架号不正确][没有印章][没有签名]	5
尾气检测报告-照片:[车牌号不正确][车架号不正确][没有签名]	61
通过	7781
左灯光工位-照片:[车灯未亮]	221
左灯光工位-照片:[车灯未亮][车牌号不正确]	52
左灯光工位-照片:[车牌号不正确]	757
通过	11673
右灯光工位-照片:[车灯未亮]	190
右灯光工位-照片:[车灯未亮][车牌号不正确]	47
右灯光工位-照片:[车牌号不正确]	592
通过	9313
一轴制动工位-照片:[车牌号不正确]	881
一轴制动工位-照片:[车轮位置不对]	517
一轴制动工位-照片:[车轮位置不对][车牌号不正确]	143
平板制动工位-照片:	535
通过	9639
二轴制动工位-照片:[车牌号不正确]	774
二轴制动工位-照片:[车轮位置不对]	615
二轴制动工位-照片:[车轮位置不对][车牌号不正确]	250
通过	9219
通过	3959
驻车制动工位-照片:[车牌号不正确]	1840
底盘动态检验开始-照片:[车牌号不正确]	2871
底盘动态检验开始-照片:车未移动	425
通过	1733
底盘动态检验结束-照片:[车牌号不正确]	2871
底盘动态检验结束-照片:车未移动	425
通过	1733
底盘检验-照片:[底盘不在工位]	12
底盘检验-照片:[底盘不在工位][车牌号不正确]	481
底盘检验-照片:[没有检验员]	64
底盘检验-照片:[车牌号不正确]	1026
底盘检验-照片:[车牌号不正确][没有检验员]	4
通过	6055
